,user
6150,0
2356,1615
3617,9117
4818,26928
7273,47151
2912,62339
7477,79889
11436,88762
10047,95945
6945,97515
11091,104504
7111,109601
11005,137311
6960,144406
9065,144855
5318,145010
2320,152891
6266,163537
618,170063
1147,172594
2881,178132
677,196895
9775,198345
2675,225434
3991,226602
8989,232223
8140,235654
9890,258807
11340,261257
211,274710
2769,276045
6332,277813
344,291455
1758,300641
4738,304167
949,305045
4847,315271
10360,315990
4885,336163
5049,350460
5781,351233
4384,352006
299,354104
8796,366585
2362,366942
8163,369028
8776,383365
5147,410720
3472,412791
2506,414282
7050,432447
1257,448757
1733,451638
8988,462722
23,465438
743,481349
3204,484350
80,497644
2781,512314
8216,515802
1269,517041
5979,525328
683,526010
7492,530735
9107,538843
9656,545110
5976,552804
2644,569643
1620,586633
7603,586930
9025,596684
1557,601635
6276,618035
2125,623112
6353,635280
4520,636750
7990,637402
5525,644407
101,657021
6330,657754
9201,670026
969,689580
7898,691496
9404,710725
7682,712463
1213,733590
4769,752392
876,752519
4289,760557
6928,760606
9667,770399
3162,773790
10214,784312
8497,794717
7671,816111
9417,819315
3138,845015
10235,846711
1226,852333
6500,874520
11400,877785
846,881303
9384,881691
4636,882993
7835,889644
3731,897145
7808,902547
9572,918221
8108,918809
2336,927630
8933,931072
4920,932101
4263,933625
581,938965
7198,942274
175,944809
10107,959344
9318,966601
1844,986178
2733,1013823
7266,1022184
169,1023970
6984,1031144
11183,1073131
1339,1094424
797,1105973
10548,1142615
5633,1144234
1489,1147194
4768,1156155
10193,1194151
951,1219948
11206,1231515
882,1253786
3903,1263310
3188,1318279
5780,1366364
597,1371823
4720,1383063
9845,1391968
9571,1398413
10775,1432082
9965,1482233
4171,1483442
11541,1508526
2414,1525559
1341,1539434
7643,1570074
3400,1585190
2081,1639139
4967,1644234
2499,1645342
9040,1651196
9423,1657451
10712,1664053
2183,1667720
8113,1697416
7941,1708076
11173,1753417
5744,1769369
8275,1780613
5461,1782036
1595,1795872
7503,1800392
4732,1802019
432,1804387
10167,1812313
6078,1855201
972,1857089
8701,1871061
11480,1901913
11161,1902905
9325,1912176
4340,1922870
10601,1932566
10419,1932719
2009,1995052
2621,2002668
6706,2006880
9909,2027138
6346,2028918
1575,2108652
616,2135102
1053,2143406
11485,2156204
5547,2200344
5194,2240006
4541,2263455
5963,2266352
3118,2294425
6583,2303350
8291,2425373
605,2434584
4182,2505806
7849,2517969
703,2525116
1024,2576550
9520,2583798
4396,2790489
7928,2815426
7997,2831603
11522,2853927
6034,2854258
8129,2875918
4911,2895769
3423,2966560
4293,2971297
6800,2987630
1854,3039080
1783,3166976
5910,3178241
4997,3179575
5755,3235063
6899,3261056
10212,3261372
8662,3308263
7482,3326081
5333,3362030
7196,3378577
10143,3381183
7304,3385334
976,3433929
9611,3504523
4492,3527572
6833,3566261
28,3595399
8698,3640955
9177,3684117
8157,3687927
7801,3763274
4128,3805998
7848,3819633
1847,3827174
2799,3834346
1040,3852269
8209,3880920
5330,3968498
5763,3990138
7396,3998367
6447,4181025
10471,4193078
8711,4309562
4177,4377718
8237,4443286
7308,4516056
8023,4557094
3447,4611634
831,4627228
6383,4676808
